title,authors,date,link
Understanding the Drivers and Outcomes of Ideologically Charged Social Media Firestorms: The Sociotechnical and Social Learning Perspectives,"['Tommy K. H. Chan', 'Zach W. Y. Lee', 'Meizhi Pan', 'Ke Sun']","Published online: 24 Aug 2025 (Vol.42, No.3, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2520170?src=
Can Correction Messages Reduce the Spread of Fake News on Social Media? The Impact of Information Updates on the Effectiveness of Corrections,"['Kelvin K. King', 'Diego Escobari']","Published online: 24 Aug 2025 (Vol.42, No.3, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2520174?src=
Mixed Signals: The Effects of Online Rating Discrepancy on User Trust,"['Florian Schneider', 'Pavel Dykmann', 'Timm Teubner']","Published online: 24 Aug 2025 (Vol.42, No.3, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2520178?src=
Job Crafting in the Context of Enterprise System Implementations,"['Frank K. Y. Chan', 'James Y. L. Thong', 'Viswanath Venkatesh']","Published online: 22 Jun 2025 (Vol.42, No.2, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2487305?src=
The Algorithm Discount: Explaining Consumers’ Valuation of Human- versus Algorithm-Created Digital Products,"['Jennifer Rix', 'Benedikt Berger', 'Thomas Hess', 'Christine Rzepka']","Published online: 22 Jun 2025 (Vol.42, No.2, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2487308?src=
Complementor Value Co-Creation in Generative AI Platform Ecosystems,"['Vincent Heimburg', 'Maximilian Schreieck', 'Manuel Wiesche']","Published online: 22 Jun 2025 (Vol.42, No.2, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2487310?src=
Shifting Dynamics: How Generative AI as a Boundary Resource Reshapes Digital Platform Governance,"['Anne-Sophie Mayer', 'Angelos Kostis', 'Franz Strich', 'Jonny Holmström']","Published online: 5 May 2025 (Vol.42, No.2, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2487312?src=
Heterogeneous Effects of Generative artificial intelligence (GenAI) on Knowledge Seeking in Online Communities,"['Martin Quinn', 'Dominik Gutt']","Published online: 22 Jun 2025 (Vol.42, No.2, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2487313?src=
Generative AI and its Transformative Value for Digital Platforms,"['Michael Wessel', 'Martin Adam', 'Alexander Benlian', 'Ann Majchrzak', 'Ferdinand Thies']","Published online: 22 Jun 2025 (Vol.42, No.2, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2487315?src=
Foundations of Decentralized Metaverse Economies: Converging Physical and Virtual Realities,"['Björn Hanneke', 'Marius Heß', 'Oliver Hinz']","Published online: 17 Feb 2025 (Vol.42, No.1, 2025)",https://www.tandfonline.com/doi/full/10.1080/07421222.2025.2452017?src=
